molecule_chembl_id,target_chembl_id,canonical_smiles,pIC50,bioactivity_class
CHEMBL3901431,CHEMBL1957,COCCn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5ccn(CCOC)n5)nc3-4)cc2)cn1,9.602059991327963,1
CHEMBL3917016,CHEMBL1957,Cn1cc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)cc2)CC3)cn1,9.585026652029182,1
CHEMBL3661006,CHEMBL1957,CCOc1cc(N2CCN(C(C)C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1ccccc1)CC2,9.585026652029182,1
CHEMBL3900113,CHEMBL1957,COc1cc(C(=O)NC(C)C)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(-c3cnn(C)c3)cc1)CC2,9.585026652029182,1
CHEMBL3915501,CHEMBL1957,COCCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(CCN5CCC(C#N)CC5)c4)cc2)CC3)n1,9.585026652029182,1
CHEMBL3965342,CHEMBL1957,CN(C)CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)cc2)CC3)n1,9.585026652029182,1
CHEMBL3913210,CHEMBL1957,Cc1cc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)cc2)CC3)nn1C,9.568636235841012,1
CHEMBL3660916,CHEMBL1957,COc1cc(C(=O)N[C@H]2CC[C@H](N3CCOCC3)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,9.568636235841012,1
CHEMBL3937320,CHEMBL1957,CN(C)CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(CC(=O)N(C)C)c4)cc2)CC3)n1,9.568636235841012,1
CHEMBL3938222,CHEMBL1957,COCCn1cc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C(C)C)c4)cc2)CC3)cn1,9.55284196865778,1
CHEMBL3950079,CHEMBL1957,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(CCCOC)c4)cc2)CC3)n1,9.55284196865778,1
