molecule_chembl_id,canonical_smiles,standard_value_nM
CHEMBL3813876,Fc1ccc(Nc2ncnc3ccc(NC(=S)NCCCN4CCOCC4)cc23)cc1Cl,0.495
CHEMBL3633142,C=CC(=O)Nc1cccc(-n2c(=O)ccc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,0.5
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,0.5
CHEMBL3633145,C=CC(=O)Nc1cccc(-n2c(=O)c(Cc3ccccc3)cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,0.5
CHEMBL3758582,COc1ccc(C(=O)NCCN(C)C)cc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,0.5
CHEMBL203599,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,0.5
CHEMBL2021575,O=C(O)[C@@H]1O[C@H]1C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.5
CHEMBL4101719,OCCCc1nc(-c2ccc(F)cc2)c(-c2ccnc3[nH]c(-c4ccccc4)cc23)[nH]1,0.5
CHEMBL3758770,COc1cc(C(=O)NCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,0.5
CHEMBL4082764,NCc1cccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)c1,0.5
CHEMBL1229592,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,0.5
CHEMBL4080720,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl,0.5
CHEMBL3355882,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,0.5
CHEMBL385479,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OCCCN1CCOCC1,0.5
CHEMBL4279227,C=C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0.5
CHEMBL4071474,C=CC(=O)N1CC[C@H](N2C(=O)N(c3ccccc3Cl)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,0.5
CHEMBL501618,C/C=C/C(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.5012
CHEMBL2031304,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCCCC1,0.51
CHEMBL3901296,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@@]12COC[C@@H]1C2,0.51
CHEMBL3355876,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCn1ccnc1[N+](=O)[O-],0.51
CHEMBL2138625,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,0.51
CHEMBL126791,Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,0.51
CHEMBL2031299,O=C(CCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.51
CHEMBL4439974,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)COC(C)=O,0.52
CHEMBL3360604,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],0.52
CHEMBL4530170,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)CSc1nnnn1C,0.53
CHEMBL3357643,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN1CCOCC1,0.53
CHEMBL3355889,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1c([N+](=O)[O-])cnc1C,0.53
CHEMBL446019,C=CC(=O)Nc1cc2ncnc(Nc3cccc(Cl)c3)c2cn1,0.537
CHEMBL4110258,CN(C)CC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@]12COC[C@H]1C2,0.54
CHEMBL3360611,C#Cc1cccc(Nc2ncnc3cc(OCCOCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,0.54
CHEMBL491085,C/C=C/C(=O)Cc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.5495
CHEMBL3663932,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)[C@H](C)C4)cc3)c(C(N)=O)nc2CC)c1,0.56
CHEMBL3355880,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCn4ccnc4[N+](=O)[O-])cc23)c1,0.56
CHEMBL460723,O=C(/C=C/C(=O)NCCCn1ccnc1)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.5623
CHEMBL3360610,C#Cc1cccc(Nc2ncnc3cc(OCCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,0.57
CHEMBL4454516,C=CC(=O)Nc1cc(Nc2nccc(NC(=O)c3ccccc3)n2)c(OC)cc1N1CCC(C(N)=O)CC1,0.5872
CHEMBL378144,C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.6
CHEMBL4562352,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)CSc1cccnc1,0.6
CHEMBL607707,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,0.6
CHEMBL4285217,C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(CCC)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,0.6
CHEMBL4282954,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCOCC1,0.6
CHEMBL4105621,C=CC(=O)Nc1cc(Cl)cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,0.6
CHEMBL3891846,C[C@@H](Nc1ncnc2oc(-c3ccc(NCCN4CCCCC4)cc3)cc12)c1ccccc1,0.6
CHEMBL127086,O=C(O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.6026
CHEMBL138940,O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1,0.6026
CHEMBL4526992,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)CSc1ncc[nH]1,0.62
CHEMBL3890068,C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(OCCOC)cc3)nn21,0.63
CHEMBL2425735,O=C(CCCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.63
CHEMBL1204262,CCOc1cc2ncnc(Nc3cccc(I)c3)c2cc1OCC.Cl,0.64
CHEMBL3360607,C#Cc1cccc(Nc2ncnc3cc(OCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,0.65
CHEMBL3920583,O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)nn1)NO,0.65
CHEMBL3954175,C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(C(F)(F)F)cc3)nn21,0.66
