molecule_chembl_id,canonical_smiles,pIC50,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3655756,CC1(c2cc(Nc3nc(N4C[C@@H](O)C[C@H]4C(=O)Nc4ncns4)nn4cccc34)[nH]n2)CC1,9.0,active,466.5310000000002,1.6772999999999991,4.0,11.0
CHEMBL3656612,COc1cc(OCCN2CCCC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1cccc(C)c1Cl)CC2,9.0,active,545.0870000000001,5.831320000000006,1.0,8.0
CHEMBL3656619,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(F)cc1Cl)CC2,9.0,active,534.0390000000001,4.939200000000004,1.0,8.0
CHEMBL3660932,COc1cc(C(=O)NC2CC(N3CCN(C)CC3)C2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,9.0,active,613.166,4.556500000000003,2.0,9.0
CHEMBL3656559,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(C)cc1C)CC2,9.0,active,509.6580000000004,4.763540000000003,1.0,8.0
CHEMBL3660919,COc1cc(C(=O)NC2CC(N3CCCC3)C2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,9.0,active,584.124,5.404900000000005,2.0,8.0
CHEMBL3656649,Cc1ccsc1-c1c2c(nn1C)CCc1cnc(Nc3cnn(C)c3)nc1-2,9.0,active,377.47700000000003,3.489720000000001,1.0,8.0
CHEMBL3652849,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1ccccc1)CC2,9.0,active,495.63100000000037,4.070500000000003,1.0,8.0
CHEMBL3660934,COc1cc(C(=O)NC2CCN(C(C)(C)C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2C,9.0,active,614.1940000000001,6.6020000000000065,2.0,8.0
CHEMBL3656623,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2C,9.0,active,572.113,5.4333000000000045,2.0,8.0
CHEMBL3660942,COc1cc(C(=O)NC2CN(C)C2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2C,9.0,active,544.0590000000001,4.653100000000003,2.0,8.0
CHEMBL3660923,COc1cc(C(=O)N[C@H]2CCCN(C3CCOCC3)C2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,9.0,active,628.1770000000001,5.421500000000004,2.0,9.0
CHEMBL3655752,CO[C@H]1C[C@@H](C(=O)Nc2ccc(F)nc2)N(c2nc(Nc3cc(C4CC4)n[nH]3)c3cccn3n2)C1,9.0,active,477.50400000000025,2.8399,3.0,9.0
CHEMBL3661008,COc1cc(N2CCN(C3CCN(C(C)=O)CC3)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1cccc(Cl)c1)CC2,9.0,active,641.2200000000001,5.105000000000004,1.0,9.0
CHEMBL3661012,CC(=O)N1CCC(N2CCC(n3cc(Nc4ncc5c(n4)-c4c(nn(C)c4Cc4ccccc4Cl)CC5C)cn3)CC2)CC1,9.0,active,614.198,5.368800000000005,1.0,9.0
CHEMBL3660914,COc1cc(C(=O)NC2CCN(C3CCOCC3)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,9.0,active,628.1770000000001,5.421500000000004,2.0,9.0
CHEMBL3656651,CC(=O)N1CCC(n2cc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccccc3)CC4C)cn2)CC1,9.0,active,482.59200000000027,4.327200000000004,1.0,8.0
CHEMBL3656650,CN1CCN(CCn2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccccc3)CC4)n2)CC1,9.0,active,469.5970000000003,2.8302000000000005,1.0,9.0
CHEMBL3652841,CC1Cc2nn(C)c(-c3ccccc3Cl)c2-c2nc(Nc3ccn(C)n3)ncc21,9.0,active,405.89300000000014,4.334200000000003,1.0,7.0
CHEMBL3660936,CCN1CCC(NC(=O)c2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccccc3Cl)CC4C)c(OC)c2)CC1,9.0,active,586.1400000000001,5.823400000000005,2.0,8.0
CHEMBL3660925,COc1cc(C(=O)NCC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,9.0,active,572.113,5.119900000000004,2.0,8.0
CHEMBL3660937,COCCN1CCC(NC(=O)c2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccccc3Cl)CC4C)c(OC)c2)CC1,9.0,active,616.166,5.449900000000005,2.0,9.0
CHEMBL3656614,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1cccc(C)c1Cl)CC2,9.0,active,530.0760000000001,5.108520000000004,1.0,8.0
CHEMBL3661011,CC1Cc2nn(C)c(Cc3ccccc3Cl)c2-c2nc(Nc3cnn(C4CCN(C5CCOCC5)CC4)c3)ncc21,9.0,active,573.1450000000003,5.5369000000000055,1.0,9.0
