,molecule_chembl_id,canonical_smiles,CHEMBL203,CHEMBL1957,CHEMBL2842,CHEMBL614725
151,CHEMBL1173652,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1,0,0,0,0
152,CHEMBL1173653,Cc1ccc(/C=C/C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,0,0,0,0
153,CHEMBL1173655,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,1,0,0,0
154,CHEMBL1173713,COc1ccc(/C=C/C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,0,0,0,0
155,CHEMBL1173714,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(C(C)C)cc1,0,0,0,0
156,CHEMBL1173789,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1[N+](=O)[O-],0,0,0,0
157,CHEMBL117696,O=[N+]([O-])c1cccc2c(NCc3ccccc3)ncnc12,0,0,0,0
158,CHEMBL117988,Nc1cccc2c(NCc3ccccc3)ncnc12,0,0,0,0
159,CHEMBL118258,CN1CCC(O)(c2cn(-c3ccnc(NC4CCCC4)n3)c(-c3cccc(C(F)(F)F)c3)n2)CC1,0,0,0,0
160,CHEMBL120077,COc1cc2c(cc1OC)-c1n[nH]c(Nc3cccc(F)c3)c1C2,0,0,0,0
161,CHEMBL1201179,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.O,1,0,0,0
162,CHEMBL1201182,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,0,0,0,1
163,CHEMBL120185,CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1,0,0,0,0
164,CHEMBL1203935,CCOc1cc2ncnc(Nc3cc(F)cc(C(F)(F)F)c3)c2cc1OCC.Cl,1,0,0,0
165,CHEMBL1203937,CCOc1cc2ncnc(NCc3ccc(F)cc3)c2cc1OCC.Cl,1,0,0,0
166,CHEMBL1203939,CCOc1cc2ncnc(Nc3ccccc3F)c2cc1OCC.Cl,1,0,0,0
167,CHEMBL1204168,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC.Cl,1,0,0,0
168,CHEMBL1204199,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC.Cl,1,0,0,0
169,CHEMBL1204261,CCOc1cc2ncnc(Nc3cccc(F)c3)c2cc1OCC.Cl,1,0,0,0
170,CHEMBL1204262,CCOc1cc2ncnc(Nc3cccc(I)c3)c2cc1OCC.Cl,1,0,0,0
171,CHEMBL1204305,COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC.Cl,1,0,0,0
172,CHEMBL121405,OC1(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NC4CCCCC4)c3)o2)CCNCC1,0,0,0,0
173,CHEMBL1221699,C=CC(=O)Nc1ccc2ncnc(Nc3ccccc3)c2c1,1,0,0,0
174,CHEMBL122260,CNC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,0,0,0,0
175,CHEMBL1224500,O=C(NC/C=C\Cn1ccc(=O)[nH]c1=O)c1ccccc1,0,0,0,0
176,CHEMBL1224501,O=C(NC/C=C\Cn1cc(F)c(=O)[nH]c1=O)c1ccccc1,0,0,0,0
177,CHEMBL1224502,Cc1cn(C/C=C\CNC(=O)c2ccccc2)c(=O)[nH]c1=O,0,0,0,0
178,CHEMBL1224503,O=C(NC/C=C\Cn1cc(C(F)(F)F)c(=O)[nH]c1=O)c1ccccc1,0,0,0,0
179,CHEMBL1224504,Nc1ccn(C/C=C\CNC(=O)c2ccccc2)c(=O)n1,0,0,0,0
180,CHEMBL1224505,Nc1nc(=O)n(C/C=C\CNC(=O)c2ccccc2)cc1F,0,0,0,0
181,CHEMBL1224571,O=C(NC/C=C\Cn1ccc(=O)[nH]c1=O)c1ccc(F)cc1,0,0,0,0
182,CHEMBL1224572,Cc1cn(C/C=C\CNC(=O)c2ccc(F)cc2)c(=O)[nH]c1=O,0,0,0,0
183,CHEMBL1224573,Nc1ccn(C/C=C\CNC(=O)c2ccc(F)cc2)c(=O)n1,0,0,0,0
184,CHEMBL1224574,Nc1nc(=O)n(C/C=C\CNC(=O)c2ccc(F)cc2)cc1F,0,0,0,0
185,CHEMBL1224575,Nc1ncnc2c1ncn2C/C=C\CNC(=O)c1ccccc1,0,0,0,0
186,CHEMBL122721,CCCCCCCCCCCCCCNC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,0,0,0,0
187,CHEMBL122785,O=S(=O)(O)c1cc(NCc2cc(O)ccc2O)ccc1O,0,0,0,0
